epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
68,3512.15,0.3367,0.48589,0.21473,0.11363,0.01429,4.06554,1,0.9939,0.995,0.87669,1,0.9939,0.995,0.89868,0.6265,0.48165,0.20359,0.20376,0.02765,0,0.00033067,0.00033067,0.00033067
69,3575.33,0.33767,0.48986,0.21102,0.11433,0.01433,3.94714,0.99965,0.99515,0.995,0.90384,0.99965,0.99515,0.995,0.9035,0.53044,0.45428,0.20483,0.16352,0.02318,0,0.00032068,0.00032068,0.00032068
70,3636.86,0.36924,0.50047,0.22675,0.13289,0.01593,3.97579,0.99987,0.99515,0.995,0.87724,0.99987,0.99515,0.995,0.90306,0.63064,0.46246,0.2313,0.18808,0.02777,0,0.00031069,0.00031069,0.00031069
71,3698.55,0.31764,0.47385,0.21256,0.11871,0.01341,4.12284,0.99951,0.99515,0.995,0.87252,0.99951,0.99515,0.995,0.89777,0.61627,0.4733,0.24389,0.18405,0.02739,0,0.0003007,0.0003007,0.0003007
72,3757.34,0.33246,0.49111,0.21436,0.11615,0.01404,4.08356,0.99961,0.99515,0.995,0.89102,0.99961,0.99515,0.995,0.89853,0.56094,0.48083,0.17302,0.17213,0.02482,0,0.00029071,0.00029071,0.00029071
73,3818.68,0.31641,0.46645,0.22197,0.11181,0.0132,4.00087,0.99966,0.99515,0.995,0.87364,0.99966,0.99515,0.995,0.90548,0.63598,0.45523,0.19779,0.18131,0.02827,0,0.00028072,0.00028072,0.00028072
74,3882.64,0.30203,0.4543,0.21748,0.10663,0.01252,3.73587,1,0.99972,0.995,0.87804,1,0.99972,0.995,0.90502,0.61602,0.45486,0.21352,0.17004,0.02725,0,0.00027073,0.00027073,0.00027073
75,3942.85,0.30226,0.44403,0.2084,0.1041,0.01267,3.77971,0.99989,1,0.995,0.87217,0.99989,1,0.995,0.9101,0.6333,0.4618,0.15782,0.17163,0.02807,0,0.00026074,0.00026074,0.00026074
76,4007.87,0.3167,0.4541,0.20711,0.10359,0.01326,3.75177,1,0.99968,0.995,0.89848,1,0.99968,0.995,0.90236,0.55825,0.46669,0.22939,0.15613,0.02461,0,0.00025075,0.00025075,0.00025075
77,4063.51,0.28733,0.46208,0.20572,0.11043,0.01189,3.67261,1,0.99437,0.995,0.86752,1,0.99437,0.995,0.90519,0.65543,0.44995,0.17516,0.18733,0.02898,0,0.00024076,0.00024076,0.00024076
78,4122.72,0.29636,0.45486,0.21168,0.10239,0.01267,3.71086,1,0.99438,0.995,0.87704,1,0.99438,0.995,0.90369,0.62118,0.45473,0.19332,0.17938,0.02757,0,0.00023077,0.00023077,0.00023077
